ResettledState,Year ,TotalResettledState,RefugeeOrigin,RefugeesResettledState,ResettledCity,RefugeesResettledCity,RefugeesResettledUS
Kentucky,CY 2015,"1,930",Somalia,313,Florence,13,"66,517"
Kentucky,CY 2014,"1,966",Sudan,13,Louisville,13,"72,820"
Louisiana,CY 2010,363,Bhutan,13,Baton Rouge,13,"71,362"
Maine,CY 2013,328,Iraq,152,Gorham,13,"66,066"
Maryland,CY 2012,"1,218",Burma,361,Catonsville,13,"66,292"
Maryland,CY 2011,"1,171",Burma,325,Jessup,13,"51,458"
Maryland,CY 2011,"1,171",Iran,56,Silver Spring,13,"51,458"
Massachusetts,CY 2010,"1,822",Afghanistan,14,South Boston,13,"71,362"
Massachusetts,CY 2011,"1,400",Bhutan,487,Boston,13,"51,458"
Massachusetts,CY 2013,"1,690",Dem. Rep. Congo,45,Lowell,13,"66,066"
Massachusetts,CY 2015,"1,666",Eritrea,56,Boston,13,"66,517"
Massachusetts,CY 2013,"1,690",Somalia,252,Lowell,13,"66,066"
Massachusetts,CY 2010,"1,822",Somalia,214,Malden,13,"71,362"
Massachusetts,CY 2013,"1,690",Sudan,52,Boston,13,"66,066"
Michigan,CY 2013,"4,125",Eritrea,21,Grand Rapids,13,"66,066"
Michigan,CY 2011,"2,163",Iraq,"1,073",Grand Rapids,13,"51,458"
Michigan,CY 2014,"3,932",Iraq,"2,642",Wixom,13,"72,820"
Michigan,CY 2012,"4,585",Sudan,41,Lansing,13,"66,292"
Minnesota,CY 2012,"2,115",Bhutan,200,Roseville,13,"66,292"
Minnesota,CY 2010,"2,182",Dem. Rep. Congo,34,Minneapolis,13,"71,362"
Minnesota,CY 2012,"2,115",Dem. Rep. Congo,13,Minneapolis,13,"66,292"
Minnesota,CY 2016,"3,009",Ethiopia,277,Fridley,13,"96,874"
Minnesota,CY 2016,"3,009",Moldova,47,Shakopee,13,"96,874"
Minnesota,CY 2010,"2,182",Somalia,654,Columbia Heights,13,"71,362"
Minnesota,CY 2010,"2,182",Somalia,654,Faribault,13,"71,362"
Minnesota,CY 2015,"2,119",Somalia,984,Minnetonka,13,"66,517"
Missouri,CY 2013,"1,237",Burma,263,Springfield,13,"66,066"
Missouri,CY 2014,"1,469",Central African Republic,13,Kansas City,13,"72,820"
Missouri,CY 2013,"1,237",Iran,15,Saint Louis,13,"66,066"
Missouri,CY 2014,"1,469",Iraq,323,Ballwin,13,"72,820"
Missouri,CY 2015,"1,352",Iraq,187,Fenton,13,"66,517"
Missouri,CY 2016,"2,337",Sudan,39,Kansas City,13,"96,874"
Nebraska,CY 2013,"1,067",Sudan,58,Lincoln,13,"66,066"
Nebraska,CY 2013,"1,067",Ukraine,13,Lincoln,13,"66,066"
Nebraska,CY 2014,"1,128",Ukraine,13,Lincoln,13,"72,820"
Nevada,CY 2016,899,Burundi,13,Las Vegas,13,"96,874"
Nevada,CY 2013,569,Ethiopia,13,Las Vegas,13,"66,066"
Nevada,CY 2013,569,Sudan,13,Las Vegas,13,"66,066"
Nevada,CY 2015,648,Syria,13,Las Vegas,13,"66,517"
New Hampshire,CY 2011,484,Burma,13,Concord,13,"51,458"
